Match Number,Round Number,Date,Location,Home Team,Away Team,Result
255,29,12/04/2025 22:00,Stade Océane,Havre Athletic Club,Stade Rennais FC,
256,29,12/04/2025 22:00,Stade Bollaert-Delelis,RC Lens,Stade DE Reims,
257,29,12/04/2025 22:00,Stade Louis II,AS Monaco,Olympique de Marseille,
258,29,12/04/2025 22:00,Stade de la Beaujoire,FC Nantes,Paris Saint-Germain,
259,29,12/04/2025 22:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Stade Brestois 29,
260,29,12/04/2025 22:00,Stade de la Meinau,RC Strasbourg Alsace,OGC Nice,
261,29,12/04/2025 22:00,Stadium Municipal,Toulouse FC,LOSC Lille,
262,30,19/04/2025 22:00,Stade Francis-Le Blé,Stade Brestois 29,RC Lens,
263,30,19/04/2025 22:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,AJ Auxerre,
264,30,19/04/2025 22:00,Orange Vélodrome,Olympique de Marseille,Montpellier Hérault SC,
265,30,19/04/2025 22:00,Stade Louis II,AS Monaco,RC Strasbourg Alsace,
266,30,19/04/2025 22:00,Allianz Riviera,OGC Nice,Angers SCO,
267,30,19/04/2025 22:00,Parc des Princes,Paris Saint-Germain,Havre Athletic Club,
268,30,19/04/2025 22:00,Stade Auguste Delaune,Stade DE Reims,Toulouse FC,
269,30,19/04/2025 22:00,Roazhon Park,Stade Rennais FC,FC Nantes,
270,30,19/04/2025 22:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Olympique Lyonnais,
271,31,26/04/2025 22:00,Stade Raymond Kopa,Angers SCO,LOSC Lille,
272,31,26/04/2025 22:00,Stade Océane,Havre Athletic Club,AS Monaco,
273,31,26/04/2025 22:00,Stade Bollaert-Delelis,RC Lens,AJ Auxerre,
274,31,26/04/2025 22:00,Groupama Stadium,Olympique Lyonnais,Stade Rennais FC,
275,31,26/04/2025 22:00,Orange Vélodrome,Olympique de Marseille,Stade Brestois 29,
276,31,26/04/2025 22:00,Stade de la Mosson,Montpellier Hérault SC,Stade DE Reims,
277,31,26/04/2025 22:00,Stade de la Beaujoire,FC Nantes,Toulouse FC,
278,31,26/04/2025 22:00,Parc des Princes,Paris Saint-Germain,OGC Nice,
279,31,26/04/2025 22:00,Stade de la Meinau,RC Strasbourg Alsace,AS Saint-Étienne,
280,32,03/05/2025 22:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Havre Athletic Club,
281,32,03/05/2025 22:00,Stade Francis-Le Blé,Stade Brestois 29,Montpellier Hérault SC,
282,32,03/05/2025 22:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,Olympique de Marseille,
283,32,03/05/2025 22:00,Groupama Stadium,Olympique Lyonnais,RC Lens,
284,32,03/05/2025 22:00,Stade de la Beaujoire,FC Nantes,Angers SCO,
285,32,03/05/2025 22:00,Allianz Riviera,OGC Nice,Stade DE Reims,
286,32,03/05/2025 22:00,Stade Geoffroy-Guichard,AS Saint-Étienne,AS Monaco,
287,32,03/05/2025 22:00,Stade de la Meinau,RC Strasbourg Alsace,Paris Saint-Germain,
288,32,03/05/2025 22:00,Stadium Municipal,Toulouse FC,Stade Rennais FC,
289,33,10/05/2025 22:00,Stade Raymond Kopa,Angers SCO,RC Strasbourg Alsace,
290,33,10/05/2025 22:00,Stade de l'Abbé-Deschamps,AJ Auxerre,FC Nantes,
291,33,10/05/2025 22:00,Stade Francis-Le Blé,Stade Brestois 29,LOSC Lille,
292,33,10/05/2025 22:00,Stade Océane,Havre Athletic Club,Olympique de Marseille,
293,33,10/05/2025 22:00,Stade Louis II,AS Monaco,Olympique Lyonnais,
294,33,10/05/2025 22:00,Stade de la Mosson,Montpellier Hérault SC,Paris Saint-Germain,
295,33,10/05/2025 22:00,Stade Auguste Delaune,Stade DE Reims,AS Saint-Étienne,
296,33,10/05/2025 22:00,Roazhon Park,Stade Rennais FC,OGC Nice,
297,33,10/05/2025 22:00,Stadium Municipal,Toulouse FC,RC Lens,
298,34,17/05/2025 22:00,Stade Bollaert-Delelis,RC Lens,AS Monaco,
299,34,17/05/2025 22:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,Stade DE Reims,
300,34,17/05/2025 22:00,Groupama Stadium,Olympique Lyonnais,Angers SCO,
301,34,17/05/2025 22:00,Orange Vélodrome,Olympique de Marseille,Stade Rennais FC,
302,34,17/05/2025 22:00,Stade de la Beaujoire,FC Nantes,Montpellier Hérault SC,
303,34,17/05/2025 22:00,Allianz Riviera,OGC Nice,Stade Brestois 29,
304,34,17/05/2025 22:00,Parc des Princes,Paris Saint-Germain,AJ Auxerre,
305,34,17/05/2025 22:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Toulouse FC,
306,34,17/05/2025 22:00,Stade de la Meinau,RC Strasbourg Alsace,Havre Athletic Club,
